input_image,annotated_output,low_energy_ratio,mid_energy_ratio,high_energy_ratio,spectral_centroid,anisotropy,reason
data/images/image_0001.tiff,outputs/explained_transforms/annotated_side_by_side/0001_image_0001_annotated.png,0.964474,0.031246,0.004280,4.340329,1.592844,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0002.jpg,outputs/explained_transforms/annotated_side_by_side/0002_image_0002_annotated.png,0.967795,0.027606,0.004599,3.985608,1.848823,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0003.jpg,outputs/explained_transforms/annotated_side_by_side/0003_image_0003_annotated.png,0.992864,0.006071,0.001065,1.270901,2.275154,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0004.jpg,outputs/explained_transforms/annotated_side_by_side/0004_image_0004_annotated.png,0.990908,0.008424,0.000668,2.551858,2.430900,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0005.jpg,outputs/explained_transforms/annotated_side_by_side/0005_image_0005_annotated.png,0.983069,0.015191,0.001741,2.551115,1.372222,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0006.jpg,outputs/explained_transforms/annotated_side_by_side/0006_image_0006_annotated.png,0.985943,0.012788,0.001269,2.794847,1.687958,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0007.jpg,outputs/explained_transforms/annotated_side_by_side/0007_image_0007_annotated.png,0.995198,0.004089,0.000712,0.851552,1.194918,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0008.jpg,outputs/explained_transforms/annotated_side_by_side/0008_image_0008_annotated.png,0.983510,0.014013,0.002478,2.129951,1.927340,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0009.jpg,outputs/explained_transforms/annotated_side_by_side/0009_image_0009_annotated.png,0.987326,0.010038,0.002635,1.552200,1.349539,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0010.jpg,outputs/explained_transforms/annotated_side_by_side/0010_image_0010_annotated.png,0.970362,0.025656,0.003982,3.690584,1.022700,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0011.jpg,outputs/explained_transforms/annotated_side_by_side/0011_image_0011_annotated.png,0.991900,0.006654,0.001446,1.452543,1.287430,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0012.jpg,outputs/explained_transforms/annotated_side_by_side/0012_image_0012_annotated.png,0.998163,0.001530,0.000307,0.230545,5.625134,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0013.jpg,outputs/explained_transforms/annotated_side_by_side/0013_image_0013_annotated.png,0.998595,0.001212,0.000192,0.322922,3.249402,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0014.jpg,outputs/explained_transforms/annotated_side_by_side/0014_image_0014_annotated.png,0.976434,0.020318,0.003247,3.125647,1.717922,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0015.jpg,outputs/explained_transforms/annotated_side_by_side/0015_image_0015_annotated.png,0.990569,0.008173,0.001258,1.336383,1.836277,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0016.jpg,outputs/explained_transforms/annotated_side_by_side/0016_image_0016_annotated.png,0.990255,0.008511,0.001234,1.061192,3.487690,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0017.jpg,outputs/explained_transforms/annotated_side_by_side/0017_image_0017_annotated.png,0.999070,0.000818,0.000112,0.194230,1.260966,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0018.jpg,outputs/explained_transforms/annotated_side_by_side/0018_image_0018_annotated.png,0.995889,0.003495,0.000615,0.533449,4.275215,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0019.jpg,outputs/explained_transforms/annotated_side_by_side/0019_image_0019_annotated.png,0.989287,0.009332,0.001382,1.093482,1.521262,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0020.jpg,outputs/explained_transforms/annotated_side_by_side/0020_image_0020_annotated.png,0.986432,0.011217,0.002351,1.630205,1.076612,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0021.jpg,outputs/explained_transforms/annotated_side_by_side/0021_image_0021_annotated.png,0.931984,0.054108,0.013908,7.687819,1.028247,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0022.jpg,outputs/explained_transforms/annotated_side_by_side/0022_image_0022_annotated.png,0.994595,0.004982,0.000423,0.919189,1.474691,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0023.jpg,outputs/explained_transforms/annotated_side_by_side/0023_image_0023_annotated.png,0.977517,0.018637,0.003845,3.240085,1.212494,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0024.jpg,outputs/explained_transforms/annotated_side_by_side/0024_image_0024_annotated.png,0.989485,0.008458,0.002057,1.431446,1.051578,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0025.jpg,outputs/explained_transforms/annotated_side_by_side/0025_image_0025_annotated.png,0.992872,0.005663,0.001465,0.907612,1.802609,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0026.jpg,outputs/explained_transforms/annotated_side_by_side/0026_image_0026_annotated.png,0.983976,0.013751,0.002273,1.928310,3.562125,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0027.jpg,outputs/explained_transforms/annotated_side_by_side/0027_image_0027_annotated.png,0.989485,0.008458,0.002057,1.431446,1.051578,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0028.jpg,outputs/explained_transforms/annotated_side_by_side/0028_image_0028_annotated.png,0.997796,0.001811,0.000394,0.633788,1.900830,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0029.jpg,outputs/explained_transforms/annotated_side_by_side/0029_image_0029_annotated.png,0.968148,0.027774,0.004079,3.247631,1.235725,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0030.jpg,outputs/explained_transforms/annotated_side_by_side/0030_image_0030_annotated.png,0.997695,0.002004,0.000301,0.544309,2.499595,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0031.jpg,outputs/explained_transforms/annotated_side_by_side/0031_image_0031_annotated.png,0.980116,0.016018,0.003866,2.215318,1.379575,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0032.jpg,outputs/explained_transforms/annotated_side_by_side/0032_image_0032_annotated.png,0.997355,0.002374,0.000271,0.760913,3.158371,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0033.jpg,outputs/explained_transforms/annotated_side_by_side/0033_image_0033_annotated.png,0.993745,0.005675,0.000580,0.675974,1.160152,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0034.jpg,outputs/explained_transforms/annotated_side_by_side/0034_image_0034_annotated.png,0.991195,0.007886,0.000920,1.538047,3.229078,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0035.jpg,outputs/explained_transforms/annotated_side_by_side/0035_image_0035_annotated.png,0.902040,0.076841,0.021119,10.843530,1.025815,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0036.jpg,outputs/explained_transforms/annotated_side_by_side/0036_image_0036_annotated.png,0.985285,0.012110,0.002605,1.668042,1.723374,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0037.jpg,outputs/explained_transforms/annotated_side_by_side/0037_image_0037_annotated.png,0.979754,0.018206,0.002040,2.435478,1.296893,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0038.jpg,outputs/explained_transforms/annotated_side_by_side/0038_image_0038_annotated.png,0.985792,0.011735,0.002473,1.963218,1.519859,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0039.jpg,outputs/explained_transforms/annotated_side_by_side/0039_image_0039_annotated.png,0.997421,0.002312,0.000267,0.869071,4.154482,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0040.jpg,outputs/explained_transforms/annotated_side_by_side/0040_image_0040_annotated.png,0.977321,0.018261,0.004418,2.725967,1.795657,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0041.jpg,outputs/explained_transforms/annotated_side_by_side/0041_image_0041_annotated.png,0.972705,0.024001,0.003294,3.019236,2.284985,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0042.jpg,outputs/explained_transforms/annotated_side_by_side/0042_image_0042_annotated.png,0.975939,0.023216,0.000846,2.541174,1.252641,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0043.jpg,outputs/explained_transforms/annotated_side_by_side/0043_image_0043_annotated.png,0.994381,0.005240,0.000379,0.989409,1.052541,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0044.jpg,outputs/explained_transforms/annotated_side_by_side/0044_image_0044_annotated.png,0.993476,0.005621,0.000903,0.892848,1.091012,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0045.jpg,outputs/explained_transforms/annotated_side_by_side/0045_image_0045_annotated.png,0.996045,0.003635,0.000321,1.228156,1.326031,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0046.jpg,outputs/explained_transforms/annotated_side_by_side/0046_image_0046_annotated.png,0.993738,0.005959,0.000302,1.892121,1.931552,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0047.jpg,outputs/explained_transforms/annotated_side_by_side/0047_image_0047_annotated.png,0.994572,0.004416,0.001011,0.606421,1.903263,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0048.jpg,outputs/explained_transforms/annotated_side_by_side/0048_image_0048_annotated.png,0.998521,0.001345,0.000135,0.426908,3.322564,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0049.jpg,outputs/explained_transforms/annotated_side_by_side/0049_image_0049_annotated.png,0.994240,0.005241,0.000519,1.213609,1.330653,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0050.jpg,outputs/explained_transforms/annotated_side_by_side/0050_image_0050_annotated.png,0.992823,0.006479,0.000698,1.842394,1.162632,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0051.jpg,outputs/explained_transforms/annotated_side_by_side/0051_image_0051_annotated.png,0.969567,0.025558,0.004874,3.834868,1.614527,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0052.jpg,outputs/explained_transforms/annotated_side_by_side/0052_image_0052_annotated.png,0.996892,0.002589,0.000519,0.580437,1.822882,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0053.jpg,outputs/explained_transforms/annotated_side_by_side/0053_image_0053_annotated.png,0.997885,0.001875,0.000240,0.503840,1.146599,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0054.jpg,outputs/explained_transforms/annotated_side_by_side/0054_image_0054_annotated.png,0.995769,0.003670,0.000561,0.670714,5.943141,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0055.jpg,outputs/explained_transforms/annotated_side_by_side/0055_image_0055_annotated.png,0.996258,0.003400,0.000341,0.714779,4.399713,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0056.jpg,outputs/explained_transforms/annotated_side_by_side/0056_image_0056_annotated.png,0.983070,0.014868,0.002062,1.938789,1.262121,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0057.jpg,outputs/explained_transforms/annotated_side_by_side/0057_image_0057_annotated.png,0.995249,0.004370,0.000381,1.642529,4.395387,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0058.jpg,outputs/explained_transforms/annotated_side_by_side/0058_image_0058_annotated.png,0.989287,0.009332,0.001382,1.093482,1.521262,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0059.jpg,outputs/explained_transforms/annotated_side_by_side/0059_image_0059_annotated.png,0.988226,0.010812,0.000962,1.660446,7.264158,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0060.jpg,outputs/explained_transforms/annotated_side_by_side/0060_image_0060_annotated.png,0.985940,0.011778,0.002282,1.769945,1.864958,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0061.jpg,outputs/explained_transforms/annotated_side_by_side/0061_image_0061_annotated.png,0.997655,0.002064,0.000281,0.605854,15.206030,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0062.jpg,outputs/explained_transforms/annotated_side_by_side/0062_image_0062_annotated.png,0.984702,0.012905,0.002392,2.100466,1.681363,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0063.jpg,outputs/explained_transforms/annotated_side_by_side/0063_image_0063_annotated.png,0.986453,0.010643,0.002904,1.997534,1.718218,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0064.jpg,outputs/explained_transforms/annotated_side_by_side/0064_image_0064_annotated.png,0.999700,0.000250,0.000050,0.189562,1.368803,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0065.jpg,outputs/explained_transforms/annotated_side_by_side/0065_image_0065_annotated.png,0.995883,0.003731,0.000386,0.841033,1.144302,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0066.jpg,outputs/explained_transforms/annotated_side_by_side/0066_image_0066_annotated.png,0.989845,0.008820,0.001335,1.787821,1.127086,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0067.jpg,outputs/explained_transforms/annotated_side_by_side/0067_image_0067_annotated.png,0.989485,0.008458,0.002057,1.431446,1.051578,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0068.jpg,outputs/explained_transforms/annotated_side_by_side/0068_image_0068_annotated.png,0.991000,0.008205,0.000795,1.577363,2.455433,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0069.jpg,outputs/explained_transforms/annotated_side_by_side/0069_image_0069_annotated.png,0.989746,0.008738,0.001516,1.271511,1.135194,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0070.jpg,outputs/explained_transforms/annotated_side_by_side/0070_image_0070_annotated.png,0.999148,0.000752,0.000100,0.216770,4.024076,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0071.jpg,outputs/explained_transforms/annotated_side_by_side/0071_image_0071_annotated.png,0.989353,0.008872,0.001776,1.574376,1.327771,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0072.jpg,outputs/explained_transforms/annotated_side_by_side/0072_image_0072_annotated.png,0.979551,0.018205,0.002244,2.926881,1.306986,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0073.jpg,outputs/explained_transforms/annotated_side_by_side/0073_image_0073_annotated.png,0.982231,0.015387,0.002382,2.394234,1.667416,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0074.jpg,outputs/explained_transforms/annotated_side_by_side/0074_image_0074_annotated.png,0.974515,0.022396,0.003089,4.755173,2.615047,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0075.jpg,outputs/explained_transforms/annotated_side_by_side/0075_image_0075_annotated.png,0.994226,0.005047,0.000727,0.833810,1.160708,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0076.jpg,outputs/explained_transforms/annotated_side_by_side/0076_image_0076_annotated.png,0.989591,0.008116,0.002293,1.410144,1.066975,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0077.jpg,outputs/explained_transforms/annotated_side_by_side/0077_image_0077_annotated.png,0.995449,0.003969,0.000582,1.013828,2.286526,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0078.jpg,outputs/explained_transforms/annotated_side_by_side/0078_image_0078_annotated.png,0.978004,0.018409,0.003588,2.988440,1.924187,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0079.jpg,outputs/explained_transforms/annotated_side_by_side/0079_image_0079_annotated.png,0.993745,0.005675,0.000580,0.675974,1.160152,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0080.jpg,outputs/explained_transforms/annotated_side_by_side/0080_image_0080_annotated.png,0.984891,0.011929,0.003180,2.643948,1.239790,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Frequency energy is fairly isotropic, so structure is less direction-specific. Lower spectral centroid confirms energy concentrated near low frequencies."
data/images/image_0081.jpg,outputs/explained_transforms/annotated_side_by_side/0081_image_0081_annotated.png,0.997566,0.002108,0.000326,0.544263,1.867474,"Very center-heavy spectrum, so the image is mostly smooth with limited fine detail. Directional frequency bias is high, indicating oriented structures or texture. Lower spectral centroid confirms energy concentrated near low frequencies."
